 1F7A_AB 1KJ7_AB 1KJG_AB 1KJH_AB 1MT7_AB 1MT8_AB 1MT9_AB 1SP5_AB 1TSQ_AB 2FNS_AB 2FNT_AB 2NPH_AB 2NXD_AB 2NXL_AB 2NXM_AB 3OTS_AB 3OTY_AB 3OU1_AB 3OU3_AB 3OU4_AB 3OUA_AB 3OUB_AB 3OUC_AB 3OUD_AB 4E43_AB 4FAE_AB 4FAF_AB 4FM6_AB 4OBD_CD 4OBF_CD 4OBG_CD 4OBH_CD 4OBJ_AB 4OBK_AB 4QJ2_DC 4QJ6_CD 4QJ7_CD 4QJ8_CD
2FNT_AB 0.99 0.99 0.99 0.99 1.00 1.00 1.00 0.92 1.00 0.99 1.00 0.90 0.98 0.98 0.98 0.88 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.94 0.87 0.87 0.89 0.96 0.96 0.96 0.98 0.98 0.98 0.96 0.96 0.96 0.96
2NPH_AB 0.91 0.91 0.91 0.91 0.90 0.90 0.90 0.98 0.90 0.91 0.90 1.00 0.92 0.92 0.92 0.86 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.96 0.86 0.86 0.93 0.90 0.90 0.90 0.92 0.92 0.92 0.90 0.90 0.90 0.90
2NXD_AB 0.99 0.99 0.99 0.99 0.98 0.98 0.98 0.94 0.98 0.99 0.98 0.92 1.00 1.00 1.00 0.88 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.96 0.88 0.88 0.91 0.98 0.98 0.98 1.00 1.00 1.00 0.98 0.98 0.98 0.98
2NXL_AB 0.99 0.99 0.99 0.99 0.98 0.98 0.98 0.94 0.98 0.99 0.98 0.92 1.00 1.00 1.00 0.88 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.96 0.88 0.88 0.91 0.98 0.98 0.98 1.00 1.00 1.00 0.98 0.98 0.98 0.98
2NXM_AB 0.99 0.99 0.99 0.99 0.98 0.98 0.98 0.94 0.98 0.99 0.98 0.92 1.00 1.00 1.00 0.88 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.96 0.88 0.88 0.91 0.98 0.98 0.98 1.00 1.00 1.00 0.98 0.98 0.98 0.98
3OTS_AB 0.87 0.87 0.87 0.87 0.88 0.88 0.88 0.88 0.88 0.87 0.88 0.86 0.88 0.88 0.88 1.00 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.88 0.99 0.99 0.83 0.86 0.86 0.86 0.88 0.88 0.88 0.88 0.88 0.88 0.88
3OTY_AB 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.87 0.86 0.86 0.86 0.85 0.87 0.87 0.87 0.98 1.00 0.99 1.00 0.99 1.00 1.00 1.00 0.99 0.87 0.99 0.99 0.82 0.85 0.85 0.85 0.87 0.87 0.87 0.87 0.87 0.87 0.87
3OU1_AB 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.87 0.86 0.86 0.86 0.85 0.87 0.87 0.87 0.98 0.99 1.00 0.99 1.00 0.99 0.99 0.99 0.99 0.87 0.99 0.99 0.82 0.85 0.85 0.85 0.87 0.87 0.87 0.87 0.87 0.87 0.87
3OU3_AB 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.87 0.86 0.86 0.86 0.85 0.87 0.87 0.87 0.98 1.00 0.99 1.00 0.99 1.00 1.00 1.00 0.99 0.87 0.99 0.99 0.82 0.85 0.85 0.85 0.87 0.87 0.87 0.87 0.87 0.87 0.87
3OU4_AB 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.87 0.86 0.86 0.86 0.85 0.87 0.87 0.87 0.98 0.99 1.00 0.99 1.00 0.99 0.99 0.99 0.99 0.87 0.99 0.99 0.82 0.85 0.85 0.85 0.87 0.87 0.87 0.87 0.87 0.87 0.87
3OUA_AB 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.87 0.86 0.86 0.86 0.85 0.87 0.87 0.87 0.98 1.00 0.99 1.00 0.99 1.00 1.00 1.00 0.99 0.87 0.99 0.99 0.82 0.85 0.85 0.85 0.87 0.87 0.87 0.87 0.87 0.87 0.87
3OUB_AB 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.87 0.86 0.86 0.86 0.85 0.87 0.87 0.87 0.98 1.00 0.99 1.00 0.99 1.00 1.00 1.00 0.99 0.87 0.99 0.99 0.82 0.85 0.85 0.85 0.87 0.87 0.87 0.87 0.87 0.87 0.87
3OUC_AB 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.87 0.86 0.86 0.86 0.85 0.87 0.87 0.87 0.98 1.00 0.99 1.00 0.99 1.00 1.00 1.00 0.99 0.87 0.99 0.99 0.82 0.85 0.85 0.85 0.87 0.87 0.87 0.87 0.87 0.87 0.87
3OUD_AB 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.87 0.86 0.86 0.86 0.85 0.87 0.87 0.87 0.98 0.99 0.99 0.99 0.99 0.99 0.99 0.99 1.00 0.87 0.99 0.99 0.82 0.85 0.85 0.85 0.87 0.87 0.87 0.87 0.87 0.87 0.87
4E43_AB 0.95 0.95 0.95 0.95 0.94 0.94 0.94 0.98 0.94 0.95 0.94 0.96 0.96 0.96 0.96 0.88 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 1.00 0.88 0.88 0.94 0.94 0.94 0.94 0.96 0.96 0.96 0.94 0.94 0.94 0.94
4FAE_AB 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.88 0.87 0.87 0.87 0.86 0.88 0.88 0.88 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.88 1.00 1.00 0.83 0.86 0.86 0.86 0.88 0.88 0.88 0.88 0.88 0.88 0.88
4FAF_AB 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.88 0.87 0.87 0.87 0.86 0.88 0.88 0.88 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.88 1.00 1.00 0.83 0.86 0.86 0.86 0.88 0.88 0.88 0.88 0.88 0.88 0.88
4FM6_AB 0.90 0.90 0.90 0.90 0.89 0.89 0.89 0.94 0.89 0.90 0.89 0.93 0.91 0.91 0.91 0.83 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.94 0.83 0.83 1.00 0.89 0.89 0.89 0.91 0.91 0.91 0.89 0.89 0.89 0.89
4OBD_CD 0.97 0.97 0.97 0.97 0.96 0.96 0.96 0.92 0.96 0.97 0.96 0.90 0.98 0.98 0.98 0.86 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.94 0.86 0.86 0.89 1.00 1.00 1.00 0.98 0.98 0.98 0.96 0.96 0.96 0.96
4OBF_CD 0.97 0.97 0.97 0.97 0.96 0.96 0.96 0.92 0.96 0.97 0.96 0.90 0.98 0.98 0.98 0.86 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.94 0.86 0.86 0.89 1.00 1.00 1.00 0.98 0.98 0.98 0.96 0.96 0.96 0.96
4OBG_CD 0.97 0.97 0.97 0.97 0.96 0.96 0.96 0.92 0.96 0.97 0.96 0.90 0.98 0.98 0.98 0.86 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.94 0.86 0.86 0.89 1.00 1.00 1.00 0.98 0.98 0.98 0.96 0.96 0.96 0.96
4OBH_CD 0.99 0.99 0.99 0.99 0.98 0.98 0.98 0.94 0.98 0.99 0.98 0.92 1.00 1.00 1.00 0.88 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.96 0.88 0.88 0.91 0.98 0.98 0.98 1.00 1.00 1.00 0.98 0.98 0.98 0.98
4OBJ_AB 0.99 0.99 0.99 0.99 0.98 0.98 0.98 0.94 0.98 0.99 0.98 0.92 1.00 1.00 1.00 0.88 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.96 0.88 0.88 0.91 0.98 0.98 0.98 1.00 1.00 1.00 0.98 0.98 0.98 0.98
4OBK_AB 0.99 0.99 0.99 0.99 0.98 0.98 0.98 0.94 0.98 0.99 0.98 0.92 1.00 1.00 1.00 0.88 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.96 0.88 0.88 0.91 0.98 0.98 0.98 1.00 1.00 1.00 0.98 0.98 0.98 0.98
4QJ2_DC 0.97 0.97 0.97 0.97 0.96 0.96 0.96 0.92 0.96 0.97 0.96 0.90 0.98 0.98 0.98 0.88 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.94 0.88 0.88 0.89 0.96 0.96 0.96 0.98 0.98 0.98 1.00 1.00 1.00 1.00
4QJ6_CD 0.97 0.97 0.97 0.97 0.96 0.96 0.96 0.92 0.96 0.97 0.96 0.90 0.98 0.98 0.98 0.88 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.94 0.88 0.88 0.89 0.96 0.96 0.96 0.98 0.98 0.98 1.00 1.00 1.00 1.00
4QJ7_CD 0.97 0.97 0.97 0.97 0.96 0.96 0.96 0.92 0.96 0.97 0.96 0.90 0.98 0.98 0.98 0.88 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.94 0.88 0.88 0.89 0.96 0.96 0.96 0.98 0.98 0.98 1.00 1.00 1.00 1.00
4QJ8_CD 0.97 0.97 0.97 0.97 0.96 0.96 0.96 0.92 0.96 0.97 0.96 0.90 0.98 0.98 0.98 0.88 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.94 0.88 0.88 0.89 0.96 0.96 0.96 0.98 0.98 0.98 1.00 1.00 1.00 1.00
