 1A1M_A 1A1N_A 1A1O_A 1A9E_A 1AGB_A 1AGC_A 1AGD_A 1AGE_A 1AGF_A 1B0G_D 1BII_A 1DUY_D 1E27_A 1EEY_D 1EEZ_D 1FZM_A 1G7Q_A 1HHI_D 1HOC_A 1HSA_D 1I1Y_D 1I4F_A 1I7R_D 1I7U_D 1IM3_A 1INQ_A 1JF1_A 1JGD_A 1JGE_A 1JHT_A 1JPF_A 1JPG_A 1JUF_A 1K8D_A 1KJ3_I 1KJM_A 1KJV_A 1LEK_A 1LK2_A 1M05_C 1MHC_A 1NAN_L 1OGT_A 1OSZ_A 1Q94_D 1QEW_A 1QR1_D 1QVO_A 1RJY_A 1RK1_A 1S7S_A 1S7T_D 1S7U_J 1S7V_D 1S7W_J 1S7X_J 1S8D_A 1S9W_A 1S9X_A 1S9Y_A 1SYS_A 1SYV_A 1T1X_A 1T1Y_A 1T1Z_A 1T20_A 1T22_A 1TVB_D 1TVH_D 1UXW_A 1VAC_A 1VAD_A 1VGK_A 1W0V_A 1WBX_A 1WBZ_A 1X7Q_A 1XH3_A 1XR8_A 1XR9_A 1YN6_A 1YN7_A 1ZSD_A 1ZT1_A 2A83_A 2AXG_A 2BSR_A 2BSS_A 2BST_A 2BVP_A 2BVQ_A 2C7U_A 2CLR_D 2CLV_A 2DYP_A 2FZ3_A 2GIT_D 2GT9_D 2GTW_D 2GUO_D 2H6P_A 2HJK_A 2HJL_A 2HN7_A 2V2X_A 2X4O_A 2X4R_A 2X4U_A 2XFX_A 2YPK_A 2ZOK_G 3BEV_A 3BO8_A 3BP7_A 3BW9_A 3BWA_A 3BXN_A 3BZE_G 3BZF_C 3C9N_A 3CC5_D 3CH1_J 3CPL_C 3D18_A 3D2U_E 3DX7_A 3E6F_A 3E6H_A 3FOL_A 3FOM_A 3FON_C 3FQT_A 3FQW_A 3FT3_A 3FT4_A 3GIV_D 3GSQ_A 3GSR_A 3GSU_A 3GSV_A 3GSW_A 3GSX_A 3H9H_D 3HPJ_D 3I6G_D 3I6L_D 3KLA_D 3KPN_A 3KPO_A 3KYN_A 3KYO_C 3L3D_A 3L3G_A 3L3I_A 3L3J_A 3LKN_A 3LKO_A 3LKP_A 3LKQ_A 3LKR_A 3LKS_A 3LN5_A 3LV3_A 3MGO_J 3MGT_J 3MR9_A 3MRB_A 3MRC_A 3MRD_A 3MRE_A 3MRF_A 3MRG_A 3MRH_A 3MRI_A 3MRJ_A 3MRK_A 3MRL_A 3MRM_A 3MRN_A 3MRO_A 3MRQ_A 3MRR_A 3MYJ_D 3NFN_A 3OXS_A 3P4M_D 3P4N_D 3P4O_D 3P9M_D 3PAB_D 3PWJ_D 3PWL_D 3PWN_D 3PWU_A 3QQ4_A 3QUK_D 3QUL_J 3RWC_D 3RWE_A 3RWG_A 3RWI_A 3SKM_A 3SPV_A 3TBS_D 3TBT_J 3TBV_G 3TBW_G 3TBY_J 3TIE_D 3UPR_C 3UTQ_A 3V5D_D 3V5H_D 3V5K_D 3VCL_A 3VFP_A 3VFR_A 3VFS_A 3VFT_A 3VFU_A 3VFV_A 3VFW_A 3VJ6_A 3VRI_A 3VRJ_A 3VXP_D 3WL9_A 3WLB_A 3WS3_C 3WS6_B 3X12_A 4CVZ_A 4E0R_D 4F7M_D 4F7T_D 4G42_D 4G43_D 4G8I_A 4GKS_D 4HS3_A 4HUV_A 4HV8_C 4HWZ_A 4HX1_A 4I4W_A 4JFO_D 4JFP_D 4JFQ_D 4JQV_A 4JQX_A 4K7F_D 4L8B_A 4L8D_C 4LCY_F 4LNR_A 4MJ5_A 4N8V_A 4NNY_A 4NO5_A 4NQV_K 4NQX_K 4NT6_A 4O2E_D 4O2F_D 4PG9_A 4PGE_A 4PR5_A 4PRB_A 4PRD_A 4PRE_A 4PRN_A 4QRQ_A 4QRS_A 4QRT_A 4QRU_A 4U1I_A 4U1L_D 4U1S_A 4U6Y_A 4WDI_D 4WJ5_D 4WU5_D 4WU7_D 4XXC_A 4Z76_D 4ZFZ_A 4ZUU_A 4ZUV_D
1VAD_A 0.69 0.70 0.70 0.70 0.71 0.71 0.71 0.71 0.71 0.72 0.88 0.72 0.71 0.72 0.72 0.98 1.00 0.72 0.84 0.72 0.72 0.72 0.72 0.72 0.72 0.84 0.72 0.72 0.72 0.72 0.84 0.84 0.84 0.81 0.99 0.80 0.78 0.99 1.00 0.70 0.66 0.99 0.72 1.00 0.72 0.72 0.72 0.72 0.97 1.00 0.99 0.99 0.84 0.84 0.84 0.84 0.72 0.73 0.73 0.73 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 1.00 1.00 0.83 0.72 0.84 1.00 0.72 0.71 0.71 0.71 0.84 0.84 0.71 0.88 0.72 0.71 0.72 0.72 0.72 0.71 0.71 0.72 0.72 0.97 0.69 0.70 0.72 0.72 0.72 0.72 0.71 0.70 0.70 0.72 0.72 0.72 0.72 0.72 0.70 0.70 0.81 0.42 0.70 0.72 0.70 0.70 0.72 0.68 0.67 0.71 0.84 0.83 0.84 0.72 0.20 0.72 0.88 0.88 0.90 0.90 0.90 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.71 0.72 0.72 0.72 0.68 0.68 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.71 0.72 0.99 0.99 0.99 0.99 0.99 0.72 0.72 0.72 0.72 0.67 0.80 0.82 0.70 0.70 0.70 0.70 0.70 0.71 0.84 0.82 0.84 0.82 0.80 0.99 0.70 0.72 0.72 0.72 0.72 0.71 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.78 0.70 0.70 0.71 0.71 0.71 0.84 0.83 0.70 0.42 0.42 0.71 0.71 0.42 0.42 0.72 0.72 0.99 0.84 0.83 0.72 0.71 0.72 0.72 0.72 0.72 0.71 0.72 0.72 0.84 0.84 0.72 0.71 0.72 0.72 0.73 0.72 0.70 0.69 0.73 0.72 0.72 0.99 1.00 0.71 0.70 0.70 0.70 0.71 0.70 0.71 0.71 0.71 0.69 0.69 0.69 0.73 0.82 0.72 0.71 0.71 0.71 0.82 0.69 0.72 0.72
1VGK_A 0.73 0.74 0.74 0.74 0.74 0.74 0.74 0.74 0.74 0.73 0.83 0.73 0.74 0.73 0.73 0.83 0.83 0.73 0.83 0.75 0.73 0.73 0.73 0.73 0.73 0.83 0.73 0.75 0.75 0.73 0.83 0.83 0.83 0.84 0.82 0.81 0.78 0.83 0.83 0.72 0.67 0.82 0.75 0.83 0.74 0.73 0.73 0.74 0.82 0.83 0.82 0.82 0.83 0.83 0.83 0.83 0.73 0.73 0.73 0.73 0.75 0.75 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.75 0.83 0.83 1.00 0.75 0.83 0.83 0.74 0.74 0.74 0.74 0.83 0.83 0.74 0.84 0.75 0.74 0.75 0.75 0.75 0.74 0.74 0.73 0.73 0.82 0.71 0.74 0.73 0.73 0.73 0.73 0.74 0.74 0.74 0.74 0.73 0.73 0.73 0.73 0.72 0.74 0.80 0.41 0.72 0.75 0.74 0.74 0.75 0.69 0.69 0.74 0.83 0.82 0.83 0.75 0.20 0.75 0.82 0.82 0.84 0.84 0.84 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.74 0.73 0.75 0.75 0.71 0.71 0.75 0.75 0.75 0.75 0.74 0.74 0.74 0.74 0.74 0.74 0.73 0.75 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.74 0.73 0.82 0.82 0.82 0.82 0.82 0.73 0.73 0.73 0.75 0.68 0.79 0.81 0.73 0.73 0.73 0.73 0.73 0.74 0.82 0.81 0.83 0.81 0.79 0.82 0.73 0.73 0.73 0.73 0.73 0.74 0.74 0.74 0.74 0.74 0.74 0.74 0.74 0.75 0.73 0.73 0.74 0.74 0.74 0.82 0.82 0.73 0.41 0.43 0.74 0.74 0.43 0.43 0.75 0.73 0.82 0.83 0.82 0.72 0.72 0.73 0.73 0.73 0.73 0.74 0.75 0.73 0.83 0.83 0.75 0.74 0.74 0.74 0.73 0.73 0.72 0.72 0.76 0.75 0.75 0.82 0.83 0.74 0.74 0.74 0.74 0.74 0.73 0.74 0.74 0.74 0.72 0.72 0.72 0.73 0.99 0.73 0.74 0.74 0.74 0.99 0.74 0.74 0.74
1W0V_A 0.90 0.91 0.91 0.91 0.92 0.92 0.92 0.92 0.92 0.86 0.74 0.86 0.91 0.86 0.86 0.72 0.72 0.86 0.72 1.00 0.86 0.86 0.86 0.86 0.86 0.73 0.85 1.00 1.00 0.85 0.73 0.73 0.73 0.74 0.72 0.75 0.72 0.72 0.72 0.89 0.68 0.72 1.00 0.72 0.89 0.86 0.86 0.89 0.73 0.72 0.73 0.73 0.72 0.73 0.73 0.73 0.86 0.86 0.86 0.86 0.93 0.92 0.86 0.86 0.86 0.86 0.86 0.86 0.86 1.00 0.72 0.72 0.75 1.00 0.73 0.72 0.89 0.91 0.92 0.92 0.72 0.72 0.91 0.71 1.00 0.91 1.00 1.00 1.00 0.91 0.91 0.86 0.86 0.73 0.83 0.91 0.86 0.86 0.86 0.86 0.91 0.91 0.91 0.88 0.86 0.86 0.86 0.86 0.78 0.91 0.70 0.43 0.86 1.00 0.91 0.91 0.93 0.78 0.79 0.92 0.73 0.72 0.73 0.99 0.22 0.93 0.74 0.74 0.72 0.72 0.72 0.86 0.86 0.86 0.86 0.86 0.85 0.85 0.86 0.86 0.85 0.85 0.86 0.86 0.86 0.88 0.86 0.93 0.93 0.82 0.82 0.93 0.93 0.93 0.93 0.91 0.91 0.91 0.91 0.91 0.91 0.91 1.00 0.86 0.86 0.85 0.86 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.86 0.85 0.85 0.86 0.85 0.86 0.85 0.86 0.86 0.88 0.86 0.73 0.73 0.73 0.73 0.72 0.86 0.86 0.86 0.79 0.74 0.70 0.71 0.86 0.86 0.86 0.86 0.89 0.92 0.72 0.71 0.73 0.71 0.70 0.73 0.91 0.86 0.86 0.86 0.86 0.92 0.90 0.91 0.91 0.91 0.91 0.91 0.91 0.74 0.91 0.91 0.88 0.88 0.88 0.72 0.72 0.91 0.43 0.42 0.88 0.88 0.42 0.42 1.00 0.86 0.72 0.73 0.73 0.86 0.85 0.86 0.86 0.86 0.86 0.93 0.93 0.86 0.73 0.73 0.91 0.91 0.88 0.88 0.86 0.86 0.86 0.87 0.88 0.93 0.93 0.73 0.72 0.91 0.91 0.91 0.91 0.91 0.89 0.92 0.92 0.92 0.91 0.92 0.92 0.86 0.75 0.86 0.88 0.88 0.93 0.75 0.85 0.83 0.83
1WBX_A 0.70 0.72 0.71 0.72 0.73 0.73 0.73 0.73 0.73 0.71 0.85 0.71 0.71 0.71 0.71 0.85 0.84 0.71 0.99 0.73 0.71 0.71 0.71 0.71 0.71 1.00 0.70 0.73 0.73 0.70 1.00 1.00 0.99 0.83 0.84 0.78 0.78 0.85 0.84 0.71 0.66 0.84 0.73 0.84 0.72 0.71 0.71 0.72 0.85 0.84 0.84 0.84 0.99 1.00 1.00 1.00 0.71 0.70 0.70 0.70 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.73 0.84 0.84 0.83 0.73 1.00 0.84 0.72 0.72 0.72 0.72 0.99 0.99 0.72 0.80 0.73 0.72 0.73 0.73 0.73 0.69 0.69 0.71 0.71 0.85 0.69 0.72 0.71 0.71 0.71 0.71 0.72 0.69 0.69 0.72 0.71 0.71 0.71 0.71 0.71 0.69 0.96 0.41 0.69 0.73 0.72 0.72 0.74 0.68 0.68 0.72 1.00 0.98 1.00 0.73 0.20 0.71 0.85 0.84 0.82 0.82 0.82 0.71 0.71 0.70 0.70 0.71 0.70 0.70 0.70 0.70 0.70 0.70 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.69 0.69 0.71 0.71 0.71 0.71 0.72 0.72 0.72 0.72 0.72 0.72 0.73 0.73 0.71 0.71 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.71 0.71 0.71 0.84 0.84 0.84 0.84 0.84 0.71 0.71 0.71 0.72 0.65 0.93 0.97 0.72 0.72 0.72 0.72 0.72 0.73 0.98 0.97 1.00 0.97 0.94 0.84 0.70 0.71 0.71 0.71 0.71 0.73 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.77 0.70 0.70 0.71 0.71 0.71 0.99 0.98 0.71 0.41 0.41 0.71 0.71 0.42 0.41 0.73 0.71 0.84 1.00 0.99 0.69 0.68 0.71 0.71 0.71 0.70 0.72 0.71 0.71 1.00 0.99 0.73 0.72 0.72 0.72 0.70 0.71 0.69 0.70 0.75 0.72 0.72 0.84 0.84 0.72 0.72 0.72 0.72 0.72 0.72 0.73 0.73 0.73 0.72 0.72 0.72 0.70 0.83 0.71 0.71 0.71 0.72 0.83 0.73 0.72 0.72
1WBZ_A 0.70 0.71 0.70 0.71 0.72 0.72 0.72 0.72 0.72 0.73 0.88 0.73 0.71 0.73 0.73 0.98 1.00 0.73 0.84 0.72 0.73 0.73 0.73 0.73 0.73 0.85 0.72 0.72 0.72 0.72 0.84 0.84 0.84 0.81 0.99 0.80 0.78 0.99 1.00 0.70 0.66 0.99 0.72 1.00 0.72 0.73 0.73 0.72 0.97 1.00 1.00 1.00 0.84 0.84 0.84 0.84 0.73 0.72 0.72 0.72 0.72 0.72 0.73 0.73 0.73 0.73 0.73 0.73 0.73 0.72 1.00 1.00 0.83 0.72 0.84 1.00 0.72 0.71 0.71 0.71 0.84 0.84 0.71 0.88 0.72 0.71 0.72 0.72 0.72 0.71 0.71 0.73 0.73 0.97 0.69 0.71 0.73 0.73 0.73 0.73 0.71 0.70 0.70 0.72 0.73 0.73 0.73 0.73 0.71 0.70 0.81 0.42 0.69 0.72 0.71 0.71 0.72 0.67 0.67 0.71 0.84 0.83 0.85 0.72 0.19 0.72 0.88 0.87 0.89 0.89 0.89 0.73 0.73 0.72 0.72 0.73 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.73 0.73 0.71 0.73 0.72 0.72 0.68 0.68 0.72 0.72 0.72 0.72 0.71 0.71 0.71 0.71 0.71 0.71 0.72 0.72 0.73 0.73 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.73 0.71 0.73 0.99 0.99 0.99 0.99 0.99 0.73 0.73 0.73 0.72 0.67 0.80 0.82 0.70 0.70 0.70 0.70 0.71 0.72 0.84 0.82 0.84 0.82 0.80 0.99 0.70 0.72 0.73 0.73 0.73 0.71 0.70 0.71 0.71 0.71 0.71 0.71 0.71 0.78 0.70 0.70 0.71 0.71 0.71 0.83 0.83 0.70 0.42 0.43 0.71 0.71 0.43 0.42 0.72 0.72 0.99 0.85 0.84 0.72 0.71 0.72 0.73 0.72 0.72 0.71 0.72 0.73 0.84 0.84 0.72 0.71 0.72 0.72 0.72 0.73 0.69 0.70 0.72 0.71 0.71 1.00 1.00 0.71 0.71 0.71 0.71 0.71 0.71 0.72 0.72 0.72 0.69 0.70 0.69 0.72 0.82 0.73 0.71 0.71 0.71 0.82 0.70 0.71 0.71
1X7Q_A 0.85 0.86 0.85 0.86 0.87 0.87 0.87 0.87 0.87 0.92 0.73 0.92 0.86 0.92 0.92 0.72 0.72 0.92 0.71 0.89 0.92 0.92 0.92 0.92 0.92 0.72 0.91 0.88 0.89 0.91 0.72 0.72 0.72 0.72 0.72 0.76 0.70 0.72 0.72 0.85 0.66 0.72 0.89 0.72 1.00 0.92 0.92 1.00 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.72 0.92 0.91 0.91 0.91 0.86 0.86 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.88 0.72 0.72 0.74 0.89 0.72 0.72 1.00 0.87 0.88 0.88 0.72 0.72 0.87 0.69 0.89 0.87 0.88 0.88 0.89 0.88 0.88 0.92 0.92 0.72 0.83 0.87 0.92 0.92 0.92 0.92 0.87 0.87 0.87 1.00 0.92 0.92 0.92 0.92 0.75 0.88 0.70 0.41 0.96 0.88 0.87 0.87 0.88 0.79 0.79 0.88 0.72 0.72 0.72 0.88 0.23 0.86 0.73 0.73 0.72 0.72 0.72 0.92 0.92 0.91 0.91 0.92 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.92 0.92 0.91 0.92 0.86 0.86 0.83 0.83 0.86 0.86 0.86 0.86 0.87 0.87 0.87 0.87 0.87 0.87 0.85 0.89 0.92 0.92 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.91 0.92 0.91 0.91 0.72 0.72 0.72 0.72 0.72 0.92 0.92 0.92 0.79 0.77 0.69 0.71 0.83 0.83 0.83 0.83 0.85 0.87 0.71 0.71 0.72 0.71 0.69 0.72 0.88 0.91 0.92 0.92 0.92 0.88 0.86 0.87 0.87 0.87 0.87 0.87 0.87 0.74 0.88 0.88 0.91 0.91 0.91 0.71 0.71 0.88 0.40 0.41 0.91 0.91 0.40 0.40 0.89 0.91 0.71 0.72 0.72 0.93 0.92 0.91 0.92 0.91 0.91 0.87 0.86 0.92 0.72 0.72 0.89 0.87 1.00 1.00 0.91 0.92 0.96 0.96 0.87 0.88 0.88 0.72 0.72 0.87 0.87 0.87 0.87 0.87 0.85 0.87 0.87 0.87 0.86 0.87 0.86 0.91 0.73 0.92 0.91 0.91 0.87 0.73 0.84 0.84 0.84
1XH3_A 0.97 1.00 0.98 1.00 0.94 0.94 0.94 0.94 0.94 0.84 0.71 0.84 0.95 0.84 0.84 0.71 0.71 0.84 0.71 0.91 0.84 0.84 0.84 0.84 0.84 0.72 0.84 0.91 0.91 0.84 0.72 0.72 0.72 0.72 0.71 0.75 0.71 0.71 0.71 0.92 0.67 0.71 0.91 0.71 0.87 0.84 0.84 0.87 0.71 0.71 0.71 0.71 0.71 0.72 0.72 0.72 0.84 0.84 0.84 0.84 0.94 0.93 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.91 0.71 0.71 0.74 0.91 0.72 0.71 0.87 1.00 0.96 0.96 0.71 0.71 1.00 0.70 0.91 1.00 0.91 0.91 0.91 0.92 0.92 0.84 0.84 0.71 0.82 1.00 0.84 0.84 0.84 0.84 1.00 0.92 0.92 0.86 0.84 0.84 0.84 0.84 0.78 0.93 0.70 0.42 0.84 0.91 1.00 1.00 0.94 0.76 0.76 0.96 0.72 0.72 0.72 0.91 0.21 0.94 0.71 0.70 0.70 0.70 0.70 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.94 0.94 0.81 0.81 0.93 0.93 0.93 0.93 1.00 1.00 1.00 1.00 1.00 1.00 0.93 0.91 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.71 0.71 0.71 0.71 0.71 0.84 0.84 0.84 0.78 0.75 0.69 0.71 0.84 0.84 0.84 0.84 0.92 0.94 0.71 0.71 0.72 0.70 0.69 0.71 0.93 0.85 0.84 0.84 0.84 0.92 0.99 1.00 1.00 1.00 1.00 1.00 1.00 0.72 0.93 0.93 0.84 0.84 0.84 0.71 0.71 0.93 0.42 0.42 0.84 0.84 0.42 0.42 0.91 0.85 0.71 0.72 0.72 0.85 0.86 0.85 0.84 0.85 0.85 0.96 0.94 0.84 0.72 0.72 0.93 1.00 0.86 0.86 0.84 0.84 0.84 0.84 0.90 0.94 0.94 0.71 0.71 1.00 1.00 1.00 1.00 1.00 0.92 0.94 0.94 0.94 0.90 0.91 0.91 0.84 0.74 0.84 0.84 0.84 0.96 0.74 0.85 0.82 0.82
1XR8_A 0.94 0.96 0.94 0.96 0.94 0.94 0.94 0.94 0.94 0.84 0.72 0.84 0.94 0.84 0.84 0.71 0.71 0.84 0.71 0.92 0.84 0.84 0.84 0.84 0.84 0.72 0.84 0.92 0.92 0.84 0.72 0.72 0.72 0.73 0.71 0.75 0.71 0.71 0.71 0.92 0.67 0.71 0.92 0.71 0.88 0.84 0.84 0.88 0.72 0.71 0.72 0.72 0.72 0.73 0.73 0.73 0.84 0.84 0.84 0.84 0.93 0.93 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.92 0.71 0.71 0.74 0.92 0.72 0.71 0.88 0.96 1.00 1.00 0.72 0.72 0.96 0.70 0.92 0.96 0.92 0.92 0.92 0.92 0.92 0.84 0.84 0.72 0.82 0.96 0.84 0.84 0.84 0.84 0.96 0.93 0.93 0.87 0.84 0.84 0.84 0.84 0.79 0.93 0.70 0.42 0.85 0.92 0.96 0.96 0.95 0.78 0.78 1.00 0.73 0.72 0.72 0.91 0.22 0.93 0.72 0.71 0.70 0.70 0.70 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.86 0.84 0.93 0.93 0.81 0.81 0.93 0.93 0.93 0.93 0.96 0.96 0.96 0.96 0.96 0.96 0.94 0.92 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.86 0.84 0.71 0.71 0.71 0.71 0.71 0.84 0.84 0.84 0.79 0.76 0.70 0.71 0.83 0.83 0.83 0.83 0.93 0.94 0.71 0.71 0.73 0.71 0.70 0.71 0.93 0.85 0.84 0.84 0.84 0.93 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.74 0.93 0.93 0.86 0.86 0.86 0.71 0.71 0.94 0.42 0.43 0.86 0.86 0.43 0.43 0.92 0.85 0.71 0.72 0.72 0.84 0.85 0.85 0.84 0.85 0.85 0.96 0.93 0.84 0.73 0.73 0.97 0.96 0.87 0.87 0.84 0.84 0.85 0.86 0.89 0.94 0.94 0.72 0.71 0.96 0.96 0.96 0.96 0.96 0.92 0.94 0.94 0.94 0.91 0.91 0.91 0.84 0.74 0.84 0.86 0.86 0.96 0.74 0.85 0.84 0.84
1XR9_A 0.94 0.96 0.94 0.96 0.94 0.94 0.94 0.94 0.94 0.84 0.72 0.84 0.94 0.84 0.84 0.71 0.71 0.84 0.71 0.92 0.84 0.84 0.84 0.84 0.84 0.72 0.84 0.92 0.92 0.84 0.72 0.72 0.72 0.73 0.71 0.75 0.71 0.71 0.71 0.92 0.67 0.71 0.92 0.71 0.88 0.84 0.84 0.88 0.72 0.71 0.72 0.72 0.72 0.73 0.73 0.73 0.84 0.84 0.84 0.84 0.93 0.93 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.92 0.71 0.71 0.74 0.92 0.72 0.71 0.88 0.96 1.00 1.00 0.72 0.72 0.96 0.70 0.92 0.96 0.92 0.92 0.92 0.92 0.92 0.84 0.84 0.72 0.82 0.96 0.84 0.84 0.84 0.84 0.96 0.93 0.93 0.87 0.84 0.84 0.84 0.84 0.79 0.93 0.70 0.42 0.85 0.92 0.96 0.96 0.95 0.78 0.78 1.00 0.73 0.72 0.72 0.91 0.22 0.93 0.72 0.71 0.70 0.70 0.70 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.86 0.84 0.93 0.93 0.81 0.81 0.93 0.93 0.93 0.93 0.96 0.96 0.96 0.96 0.96 0.96 0.94 0.92 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.86 0.84 0.71 0.71 0.71 0.71 0.71 0.84 0.84 0.84 0.79 0.76 0.70 0.71 0.83 0.83 0.83 0.83 0.93 0.94 0.71 0.71 0.73 0.71 0.70 0.71 0.93 0.85 0.84 0.84 0.84 0.93 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.74 0.93 0.93 0.86 0.86 0.86 0.71 0.71 0.94 0.42 0.43 0.86 0.86 0.43 0.43 0.92 0.85 0.71 0.72 0.72 0.84 0.85 0.85 0.84 0.85 0.85 0.96 0.93 0.84 0.73 0.73 0.97 0.96 0.87 0.87 0.84 0.84 0.85 0.86 0.89 0.94 0.94 0.72 0.71 0.96 0.96 0.96 0.96 0.96 0.92 0.94 0.94 0.94 0.91 0.91 0.91 0.84 0.74 0.84 0.86 0.86 0.96 0.74 0.85 0.84 0.84
1YN6_A 0.69 0.71 0.70 0.71 0.72 0.72 0.72 0.72 0.72 0.70 0.85 0.70 0.70 0.70 0.70 0.85 0.84 0.70 0.99 0.72 0.70 0.70 0.70 0.70 0.70 0.99 0.70 0.72 0.72 0.70 0.99 0.99 0.99 0.83 0.83 0.77 0.77 0.85 0.84 0.71 0.66 0.83 0.72 0.84 0.72 0.70 0.70 0.72 0.84 0.84 0.84 0.84 1.00 0.99 0.99 0.99 0.70 0.70 0.70 0.70 0.71 0.71 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.72 0.84 0.84 0.83 0.72 0.99 0.84 0.72 0.71 0.72 0.72 1.00 1.00 0.71 0.80 0.72 0.71 0.72 0.72 0.72 0.70 0.70 0.70 0.70 0.84 0.69 0.71 0.70 0.70 0.70 0.70 0.71 0.69 0.69 0.72 0.70 0.70 0.70 0.70 0.71 0.70 0.96 0.42 0.70 0.72 0.71 0.71 0.73 0.69 0.68 0.72 0.99 0.98 0.99 0.72 0.20 0.71 0.85 0.85 0.82 0.82 0.82 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.71 0.70 0.71 0.71 0.69 0.69 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.73 0.72 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.71 0.70 0.83 0.83 0.83 0.83 0.83 0.70 0.70 0.70 0.72 0.65 0.94 0.97 0.71 0.71 0.71 0.71 0.71 0.72 0.99 0.97 0.99 0.97 0.94 0.84 0.69 0.70 0.70 0.70 0.70 0.73 0.71 0.71 0.71 0.71 0.71 0.71 0.71 0.76 0.69 0.69 0.71 0.71 0.71 0.99 0.98 0.70 0.42 0.41 0.71 0.71 0.42 0.42 0.72 0.70 0.83 0.99 0.98 0.70 0.69 0.70 0.70 0.70 0.70 0.72 0.71 0.70 0.99 0.99 0.73 0.71 0.72 0.72 0.70 0.70 0.70 0.69 0.75 0.73 0.73 0.84 0.84 0.71 0.71 0.71 0.71 0.71 0.71 0.72 0.72 0.72 0.71 0.71 0.71 0.70 0.82 0.70 0.71 0.71 0.72 0.82 0.72 0.72 0.72
