 1AQD_KJ 1FV1_ED 1IAK_BA 1JK8_BA 1KLG_BA 1KLU_BA 1MUJ_BA 1R5V_DC 1S9V_ED 1SJE_BA 1SJH_BA 1T5W_ED 1UVQ_BA 2NNA_BA 2Q6W_ED 2XN9_ED 3C5J_BA 3PDO_BA 3QXD_ED 4AEN_BA 4H25_ED 4H26_ED 4I5B_ED 4IS6_BA 4MDJ_BA 4OV5_QP 4X5W_BA
1UVQ_BA 0.62 0.61 0.71 0.88 0.62 0.61 0.69 0.60 0.85 0.61 0.61 0.61 1.00 0.89 0.59 0.61 0.60 0.60 0.61 0.62 0.60 0.59 0.60 0.60 0.60 0.61 0.61
2NNA_BA 0.61 0.60 0.72 0.96 0.61 0.60 0.70 0.58 0.89 0.60 0.60 0.60 0.89 1.00 0.58 0.60 0.59 0.59 0.60 0.61 0.59 0.59 0.59 0.60 0.60 0.60 0.60
2Q6W_ED 0.93 0.92 0.57 0.58 0.93 0.93 0.56 0.78 0.58 0.93 0.93 0.93 0.59 0.58 1.00 0.93 0.96 0.91 0.93 0.92 0.95 0.97 0.91 0.94 0.92 0.93 0.91
2XN9_ED 0.98 0.95 0.60 0.61 0.99 0.99 0.58 0.78 0.61 0.99 0.99 0.99 0.61 0.60 0.93 1.00 0.92 0.97 0.99 0.98 0.93 0.94 0.96 0.95 0.94 0.99 0.96
3C5J_BA 0.93 0.90 0.58 0.59 0.93 0.92 0.56 0.77 0.59 0.92 0.92 0.92 0.60 0.59 0.96 0.92 1.00 0.90 0.92 0.94 0.99 0.98 0.90 0.93 0.92 0.92 0.91
3PDO_BA 0.96 0.94 0.59 0.60 0.97 0.98 0.57 0.76 0.59 0.98 0.98 0.97 0.60 0.59 0.91 0.97 0.90 1.00 0.96 0.95 0.91 0.92 0.97 0.93 0.93 0.97 0.96
3QXD_ED 0.99 0.95 0.60 0.61 0.99 0.99 0.58 0.77 0.60 0.99 0.99 0.99 0.61 0.60 0.93 0.99 0.92 0.96 1.00 0.97 0.92 0.94 0.97 0.94 0.93 0.99 0.96
4AEN_BA 0.98 0.93 0.59 0.60 0.98 0.97 0.58 0.77 0.62 0.97 0.97 0.97 0.62 0.61 0.92 0.98 0.94 0.95 0.97 1.00 0.94 0.93 0.95 0.93 0.92 0.97 0.97
4H25_ED 0.93 0.91 0.58 0.59 0.93 0.93 0.56 0.77 0.59 0.93 0.93 0.92 0.60 0.59 0.95 0.93 0.99 0.91 0.92 0.94 1.00 0.98 0.90 0.93 0.92 0.93 0.92
4H26_ED 0.94 0.92 0.59 0.59 0.93 0.94 0.57 0.78 0.58 0.94 0.94 0.94 0.59 0.59 0.97 0.94 0.98 0.92 0.94 0.93 0.98 1.00 0.92 0.95 0.94 0.94 0.92
4I5B_ED 0.96 0.93 0.59 0.60 0.96 0.97 0.57 0.76 0.59 0.97 0.97 0.97 0.60 0.59 0.91 0.96 0.90 0.97 0.97 0.95 0.90 0.92 1.00 0.92 0.92 0.97 0.95
4IS6_BA 0.94 0.94 0.60 0.61 0.94 0.95 0.58 0.78 0.59 0.95 0.95 0.95 0.60 0.60 0.94 0.95 0.93 0.93 0.94 0.93 0.93 0.95 0.92 1.00 0.98 0.95 0.92
4MDJ_BA 0.93 0.94 0.60 0.61 0.93 0.94 0.58 0.77 0.59 0.94 0.94 0.94 0.60 0.60 0.92 0.94 0.92 0.93 0.93 0.92 0.92 0.94 0.92 0.98 1.00 0.94 0.92
4OV5_QP 0.99 0.96 0.60 0.61 0.99 1.00 0.58 0.77 0.61 0.99 0.99 0.99 0.61 0.60 0.93 0.99 0.92 0.97 0.99 0.97 0.93 0.94 0.97 0.95 0.94 1.00 0.97
4X5W_BA 0.96 0.93 0.59 0.60 0.97 0.97 0.58 0.75 0.60 0.97 0.97 0.97 0.61 0.60 0.91 0.96 0.91 0.96 0.96 0.97 0.92 0.92 0.95 0.92 0.92 0.97 1.00
