,3OUC_AB_25_P_1.pdb,1SP5_AB_25_I_1.pdb,1KJG_AB_25_P_1.pdb,4FM6_AB_25_C_1.pdb,4EQJ_A_25_G_1.pdb,3OUA_AB_25_P_1.pdb,3OTS_AB_25_P_1.pdb,4EP2_A_25_B_2.pdb,4OBG_CD_25_F_1.pdb,2FNS_AB_25_P_1.pdb,4QJ7_CD_25_G_1.pdb,2NXL_AB_25_P_1.pdb,3OUD_AB_25_P_1.pdb,4OBJ_AB_25_C_2.pdb,2NXD_AB_25_P_1.pdb,1MT7_AB_25_P_1.pdb,4FAE_AB_25_D_2.pdb,4QJ2_CD_25_F_2.pdb,4OBK_AB_25_C_2.pdb,4OBF_CD_25_F_1.pdb,4EQ0_A_25_P_1.pdb,4EP3_A_25_E_2.pdb,4FAF_AB_25_D_1.pdb,3OU3_AB_25_C_1.pdb,4EPJ_A_25_D_2.pdb,1TSQ_AB_25_P_1.pdb,1KJ7_AB_25_P_1.pdb,1F7A_AB_25_P_1.pdb,1KJF_AB_25_P_1.pdb,3OU1_AB_25_P_2.pdb,4QJ6_CD_25_F_1.pdb,4OBH_CD_25_F_1.pdb,3OUB_AB_25_P_1.pdb,3OU4_AB_25_C_1.pdb,4OBD_CD_25_F_2.pdb,4QJA_AB_25_P_2.pdb,2NXM_AB_25_P_1.pdb,2FNT_AB_25_P_1.pdb,1MT8_AB_25_P_1.pdb,1KJH_AB_25_P_2.pdb,3OTY_AB_25_P_1.pdb,4E43_AB_25_C_1.pdb,2NPH_AB_25_T_1.pdb
4QJ7_CD_25_G_1.pdb,0.94,0.96,0.985,0.945,0.455,0.94,0.94,0.48,0.98,0.985,1.0,0.99,0.94,0.99,0.99,0.98,0.94,1.0,0.99,0.98,0.465,0.48,0.94,0.94,0.48,0.98,0.985,0.985,0.985,0.94,1.0,0.99,0.94,0.94,0.98,0.995,0.99,0.98,0.98,0.985,0.94,0.97,0.95
2NXL_AB_25_P_1.pdb,0.94,0.97,0.995,0.955,0.465,0.94,0.94,0.49,0.99,0.995,0.99,1.0,0.94,1.0,1.0,0.99,0.94,0.99,1.0,0.99,0.475,0.49,0.94,0.94,0.49,0.99,0.995,0.995,0.995,0.94,0.99,1.0,0.94,0.94,0.99,0.995,1.0,0.99,0.99,0.995,0.94,0.98,0.96
3OUD_AB_25_P_1.pdb,1.0,0.94,0.935,0.915,0.405,1.0,0.995,0.43,0.93,0.935,0.94,0.94,1.0,0.94,0.94,0.935,1.0,0.94,0.94,0.93,0.415,0.43,1.0,1.0,0.43,0.935,0.935,0.935,0.935,1.0,0.94,0.94,1.0,1.0,0.93,0.945,0.94,0.935,0.935,0.935,1.0,0.94,0.93
4OBJ_AB_25_C_2.pdb,0.94,0.97,0.995,0.955,0.465,0.94,0.94,0.49,0.99,0.995,0.99,1.0,0.94,1.0,1.0,0.99,0.94,0.99,1.0,0.99,0.475,0.49,0.94,0.94,0.49,0.99,0.995,0.995,0.995,0.94,0.99,1.0,0.94,0.94,0.99,0.995,1.0,0.99,0.99,0.995,0.94,0.98,0.96
2NXD_AB_25_P_1.pdb,0.94,0.97,0.995,0.955,0.465,0.94,0.94,0.49,0.99,0.995,0.99,1.0,0.94,1.0,1.0,0.99,0.94,0.99,1.0,0.99,0.475,0.49,0.94,0.94,0.49,0.99,0.995,0.995,0.995,0.94,0.99,1.0,0.94,0.94,0.99,0.995,1.0,0.99,0.99,0.995,0.94,0.98,0.96
1MT7_AB_25_P_1.pdb,0.935,0.96,0.995,0.945,0.465,0.935,0.94,0.49,0.98,0.995,0.98,0.99,0.935,0.99,0.99,1.0,0.935,0.98,0.99,0.98,0.475,0.49,0.935,0.935,0.49,1.0,0.995,0.995,0.995,0.935,0.98,0.99,0.935,0.935,0.98,0.985,0.99,1.0,1.0,0.995,0.935,0.97,0.95
4FAE_AB_25_D_2.pdb,1.0,0.94,0.935,0.915,0.405,1.0,0.995,0.43,0.93,0.935,0.94,0.94,1.0,0.94,0.94,0.935,1.0,0.94,0.94,0.93,0.415,0.43,1.0,1.0,0.43,0.935,0.935,0.935,0.935,1.0,0.94,0.94,1.0,1.0,0.93,0.945,0.94,0.935,0.935,0.935,1.0,0.94,0.93
4QJ2_CD_25_F_2.pdb,0.94,0.96,0.985,0.945,0.455,0.94,0.94,0.48,0.98,0.985,1.0,0.99,0.94,0.99,0.99,0.98,0.94,1.0,0.99,0.98,0.465,0.48,0.94,0.94,0.48,0.98,0.985,0.985,0.985,0.94,1.0,0.99,0.94,0.94,0.98,0.995,0.99,0.98,0.98,0.985,0.94,0.97,0.95
4OBK_AB_25_C_2.pdb,0.94,0.97,0.995,0.955,0.465,0.94,0.94,0.49,0.99,0.995,0.99,1.0,0.94,1.0,1.0,0.99,0.94,0.99,1.0,0.99,0.475,0.49,0.94,0.94,0.49,0.99,0.995,0.995,0.995,0.94,0.99,1.0,0.94,0.94,0.99,0.995,1.0,0.99,0.99,0.995,0.94,0.98,0.96
4OBF_CD_25_F_1.pdb,0.93,0.96,0.985,0.945,0.46,0.93,0.93,0.48,1.0,0.985,0.98,0.99,0.93,0.99,0.99,0.98,0.93,0.98,0.99,1.0,0.47,0.48,0.93,0.93,0.48,0.98,0.985,0.985,0.985,0.93,0.98,0.99,0.93,0.93,1.0,0.985,0.99,0.98,0.98,0.985,0.93,0.97,0.95
4EQ0_A_25_P_1.pdb,0.415,0.445,0.48,0.44,0.99,0.415,0.415,0.98,0.47,0.48,0.465,0.475,0.415,0.475,0.475,0.475,0.415,0.465,0.475,0.47,1.0,0.98,0.415,0.415,0.98,0.475,0.48,0.48,0.48,0.415,0.465,0.475,0.415,0.415,0.47,0.47,0.475,0.475,0.475,0.48,0.415,0.455,0.445
4EP3_A_25_E_2.pdb,0.43,0.46,0.495,0.455,0.97,0.43,0.43,1.0,0.48,0.495,0.48,0.49,0.43,0.49,0.49,0.49,0.43,0.48,0.49,0.48,0.98,1.0,0.43,0.43,1.0,0.49,0.495,0.495,0.495,0.43,0.48,0.49,0.43,0.43,0.48,0.485,0.49,0.49,0.49,0.495,0.43,0.47,0.46
4FAF_AB_25_D_1.pdb,1.0,0.94,0.935,0.915,0.405,1.0,0.995,0.43,0.93,0.935,0.94,0.94,1.0,0.94,0.94,0.935,1.0,0.94,0.94,0.93,0.415,0.43,1.0,1.0,0.43,0.935,0.935,0.935,0.935,1.0,0.94,0.94,1.0,1.0,0.93,0.945,0.94,0.935,0.935,0.935,1.0,0.94,0.93
3OU3_AB_25_C_1.pdb,1.0,0.94,0.935,0.915,0.405,1.0,0.995,0.43,0.93,0.935,0.94,0.94,1.0,0.94,0.94,0.935,1.0,0.94,0.94,0.93,0.415,0.43,1.0,1.0,0.43,0.935,0.935,0.935,0.935,1.0,0.94,0.94,1.0,1.0,0.93,0.945,0.94,0.935,0.935,0.935,1.0,0.94,0.93
4EPJ_A_25_D_2.pdb,0.43,0.46,0.495,0.455,0.97,0.43,0.43,1.0,0.48,0.495,0.48,0.49,0.43,0.49,0.49,0.49,0.43,0.48,0.49,0.48,0.98,1.0,0.43,0.43,1.0,0.49,0.495,0.495,0.495,0.43,0.48,0.49,0.43,0.43,0.48,0.485,0.49,0.49,0.49,0.495,0.43,0.47,0.46
1TSQ_AB_25_P_1.pdb,0.935,0.96,0.995,0.945,0.465,0.935,0.94,0.49,0.98,0.995,0.98,0.99,0.935,0.99,0.99,1.0,0.935,0.98,0.99,0.98,0.475,0.49,0.935,0.935,0.49,1.0,0.995,0.995,0.995,0.935,0.98,0.99,0.935,0.935,0.98,0.985,0.99,1.0,1.0,0.995,0.935,0.97,0.95
1KJ7_AB_25_P_1.pdb,0.935,0.965,1.0,0.95,0.47,0.935,0.935,0.495,0.985,1.0,0.985,0.995,0.935,0.995,0.995,0.995,0.935,0.985,0.995,0.985,0.48,0.495,0.935,0.935,0.495,0.995,1.0,1.0,1.0,0.935,0.985,0.995,0.935,0.935,0.985,0.99,0.995,0.995,0.995,1.0,0.935,0.975,0.955
1F7A_AB_25_P_1.pdb,0.935,0.965,1.0,0.95,0.47,0.935,0.935,0.495,0.985,1.0,0.985,0.995,0.935,0.995,0.995,0.995,0.935,0.985,0.995,0.985,0.48,0.495,0.935,0.935,0.495,0.995,1.0,1.0,1.0,0.935,0.985,0.995,0.935,0.935,0.985,0.99,0.995,0.995,0.995,1.0,0.935,0.975,0.955
1KJF_AB_25_P_1.pdb,0.935,0.965,1.0,0.95,0.47,0.935,0.935,0.495,0.985,1.0,0.985,0.995,0.935,0.995,0.995,0.995,0.935,0.985,0.995,0.985,0.48,0.495,0.935,0.935,0.495,0.995,1.0,1.0,1.0,0.935,0.985,0.995,0.935,0.935,0.985,0.99,0.995,0.995,0.995,1.0,0.935,0.975,0.955
3OU1_AB_25_P_2.pdb,1.0,0.94,0.935,0.915,0.405,1.0,0.995,0.43,0.93,0.935,0.94,0.94,1.0,0.94,0.94,0.935,1.0,0.94,0.94,0.93,0.415,0.43,1.0,1.0,0.43,0.935,0.935,0.935,0.935,1.0,0.94,0.94,1.0,1.0,0.93,0.945,0.94,0.935,0.935,0.935,1.0,0.94,0.93
4QJ6_CD_25_F_1.pdb,0.94,0.96,0.985,0.945,0.455,0.94,0.94,0.48,0.98,0.985,1.0,0.99,0.94,0.99,0.99,0.98,0.94,1.0,0.99,0.98,0.465,0.48,0.94,0.94,0.48,0.98,0.985,0.985,0.985,0.94,1.0,0.99,0.94,0.94,0.98,0.995,0.99,0.98,0.98,0.985,0.94,0.97,0.95
4OBH_CD_25_F_1.pdb,0.94,0.97,0.995,0.955,0.465,0.94,0.94,0.49,0.99,0.995,0.99,1.0,0.94,1.0,1.0,0.99,0.94,0.99,1.0,0.99,0.475,0.49,0.94,0.94,0.49,0.99,0.995,0.995,0.995,0.94,0.99,1.0,0.94,0.94,0.99,0.995,1.0,0.99,0.99,0.995,0.94,0.98,0.96
3OUB_AB_25_P_1.pdb,1.0,0.94,0.935,0.915,0.405,1.0,0.995,0.43,0.93,0.935,0.94,0.94,1.0,0.94,0.94,0.935,1.0,0.94,0.94,0.93,0.415,0.43,1.0,1.0,0.43,0.935,0.935,0.935,0.935,1.0,0.94,0.94,1.0,1.0,0.93,0.945,0.94,0.935,0.935,0.935,1.0,0.94,0.93
3OU4_AB_25_C_1.pdb,1.0,0.94,0.935,0.915,0.405,1.0,0.995,0.43,0.93,0.935,0.94,0.94,1.0,0.94,0.94,0.935,1.0,0.94,0.94,0.93,0.415,0.43,1.0,1.0,0.43,0.935,0.935,0.935,0.935,1.0,0.94,0.94,1.0,1.0,0.93,0.945,0.94,0.935,0.935,0.935,1.0,0.94,0.93
4OBD_CD_25_F_2.pdb,0.93,0.96,0.985,0.945,0.46,0.93,0.93,0.48,1.0,0.985,0.98,0.99,0.93,0.99,0.99,0.98,0.93,0.98,0.99,1.0,0.47,0.48,0.93,0.93,0.48,0.98,0.985,0.985,0.985,0.93,0.98,0.99,0.93,0.93,1.0,0.985,0.99,0.98,0.98,0.985,0.93,0.97,0.95
4QJA_AB_25_P_2.pdb,0.945,0.965,0.99,0.95,0.46,0.945,0.945,0.485,0.985,0.99,0.995,0.995,0.945,0.995,0.995,0.985,0.945,0.995,0.995,0.985,0.47,0.485,0.945,0.945,0.485,0.985,0.99,0.99,0.99,0.945,0.995,0.995,0.945,0.945,0.985,1.0,0.995,0.985,0.985,0.99,0.945,0.975,0.955
2NXM_AB_25_P_1.pdb,0.94,0.97,0.995,0.955,0.465,0.94,0.94,0.49,0.99,0.995,0.99,1.0,0.94,1.0,1.0,0.99,0.94,0.99,1.0,0.99,0.475,0.49,0.94,0.94,0.49,0.99,0.995,0.995,0.995,0.94,0.99,1.0,0.94,0.94,0.99,0.995,1.0,0.99,0.99,0.995,0.94,0.98,0.96
2FNT_AB_25_P_1.pdb,0.935,0.96,0.995,0.945,0.465,0.935,0.94,0.49,0.98,0.995,0.98,0.99,0.935,0.99,0.99,1.0,0.935,0.98,0.99,0.98,0.475,0.49,0.935,0.935,0.49,1.0,0.995,0.995,0.995,0.935,0.98,0.99,0.935,0.935,0.98,0.985,0.99,1.0,1.0,0.995,0.935,0.97,0.95
1MT8_AB_25_P_1.pdb,0.935,0.96,0.995,0.945,0.465,0.935,0.94,0.49,0.98,0.995,0.98,0.99,0.935,0.99,0.99,1.0,0.935,0.98,0.99,0.98,0.475,0.49,0.935,0.935,0.49,1.0,0.995,0.995,0.995,0.935,0.98,0.99,0.935,0.935,0.98,0.985,0.99,1.0,1.0,0.995,0.935,0.97,0.95
1KJH_AB_25_P_2.pdb,0.935,0.965,1.0,0.95,0.47,0.935,0.935,0.495,0.985,1.0,0.985,0.995,0.935,0.995,0.995,0.995,0.935,0.985,0.995,0.985,0.48,0.495,0.935,0.935,0.495,0.995,1.0,1.0,1.0,0.935,0.985,0.995,0.935,0.935,0.985,0.99,0.995,0.995,0.995,1.0,0.935,0.975,0.955
3OTY_AB_25_P_1.pdb,1.0,0.94,0.935,0.915,0.405,1.0,0.995,0.43,0.93,0.935,0.94,0.94,1.0,0.94,0.94,0.935,1.0,0.94,0.94,0.93,0.415,0.43,1.0,1.0,0.43,0.935,0.935,0.935,0.935,1.0,0.94,0.94,1.0,1.0,0.93,0.945,0.94,0.935,0.935,0.935,1.0,0.94,0.93
4E43_AB_25_C_1.pdb,0.94,0.99,0.975,0.97,0.445,0.94,0.94,0.47,0.97,0.975,0.97,0.98,0.94,0.98,0.98,0.97,0.94,0.97,0.98,0.97,0.455,0.47,0.94,0.94,0.47,0.97,0.975,0.975,0.975,0.94,0.97,0.98,0.94,0.94,0.97,0.975,0.98,0.97,0.97,0.975,0.94,1.0,0.98
2NPH_AB_25_T_1.pdb,0.93,0.99,0.955,0.965,0.435,0.93,0.93,0.46,0.95,0.955,0.95,0.96,0.93,0.96,0.96,0.95,0.93,0.95,0.96,0.95,0.445,0.46,0.93,0.93,0.46,0.95,0.955,0.955,0.955,0.93,0.95,0.96,0.93,0.93,0.95,0.955,0.96,0.95,0.95,0.955,0.93,0.98,1.0
