 1A3R_LH 1EJO_LH 1KC5_LH 1KCS_LH 1N64_LH 1PZ5_AB 1Q1J_HL 1SM3_HL 1TET_LH 1TJG_HL 1TJH_HL 1TJI_HL 1U8H_BA 1U8I_BA 1U8J_BA 1U8K_BA 1U8M_BA 1U8Q_BA 1U91_BA 1U92_BA 1U93_BA 1U95_BA 2B1A_HL 2B1H_HL 2CK0_LH 2FX7_HL 2G5B_AB 2HKF_LH 2P8L_BA 2R0W_LH 2R0Z_LH 2V17_LH 2Y07_HL 3BAE_LH 3C2A_IM 3D0L_BA 3D0V_BA 3E8U_LH 3EYF_CD 3FFD_BA 3G5V_AB 3GGW_CD 3GHB_IM 3GHE_HL 3H0T_BA 3HR5_LH 3IDG_BA 3IFL_LH 3IFN_LH 3LEX_BA 3LEY_LH 3MLR_HL 3MLS_KO 3MLT_HL 3MLV_NM 3MOA_HL 3O6L_LH 3O6M_LH 3QG6_LH 3SGE_IJ 3U0T_AB 3UJI_HL 3UJJ_HL 3UO1_LH 3UYR_LH 4DGY_HL 4GAG_LH 4HHA_BA 4HPO_HL 4HPY_HL 4HS6_LH 4IOI_AB 4JG0_HL 4JO1_MI 4JO2_MI 4N8C_MI 4OJF_LH 4ONF_LH 4ONG_LH 4P3D_BA 4QXU_LH 4TQE_LH 4TUJ_DC 4TUK_LH 4TUL_LH 4WHT_YX 4WY7_HL 4XBE_LH 4XCF_LH 4XH2_AB 4XXD_DE 4YO0_DC 4YR6_ED
1TJH_HL 0.21 0.22 0.23 0.24 0.22 0.22 0.52 0.42 0.22 1.00 1.00 1.00 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.96 0.97 0.97 0.53 0.53 0.22 0.71 0.23 0.22 0.96 0.22 0.22 0.23 0.40 0.21 0.52 0.95 0.96 0.22 0.26 0.22 0.22 0.21 0.52 0.51 0.56 0.26 0.97 0.22 0.21 0.22 0.22 0.51 0.51 0.49 0.50 0.99 0.22 0.22 0.22 0.22 0.25 0.50 0.52 0.22 0.22 0.73 0.22 0.72 0.50 0.52 0.26 0.25 0.71 0.22 0.22 0.21 0.25 0.21 0.21 0.21 0.22 0.21 0.21 0.21 0.21 0.23 0.69 0.27 0.27 0.75 0.25 0.24 0.22
1TJI_HL 0.21 0.22 0.23 0.23 0.22 0.22 0.52 0.42 0.22 1.00 1.00 1.00 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.96 0.97 0.97 0.53 0.53 0.22 0.71 0.23 0.22 0.96 0.21 0.22 0.23 0.40 0.21 0.52 0.95 0.96 0.22 0.26 0.22 0.22 0.21 0.52 0.51 0.56 0.26 0.97 0.21 0.21 0.22 0.22 0.52 0.51 0.49 0.51 0.99 0.22 0.22 0.22 0.22 0.25 0.50 0.52 0.22 0.22 0.73 0.22 0.72 0.50 0.52 0.26 0.25 0.71 0.22 0.22 0.20 0.25 0.21 0.21 0.22 0.22 0.20 0.21 0.21 0.21 0.23 0.69 0.27 0.27 0.75 0.26 0.24 0.22
1U8H_BA 0.21 0.23 0.23 0.24 0.23 0.22 0.51 0.43 0.22 0.97 0.97 0.97 1.00 1.00 1.00 0.99 1.00 1.00 1.00 0.99 1.00 1.00 0.51 0.51 0.22 0.68 0.23 0.22 0.99 0.21 0.22 0.23 0.41 0.22 0.51 0.97 0.98 0.22 0.26 0.22 0.22 0.21 0.51 0.51 0.54 0.27 1.00 0.21 0.22 0.23 0.22 0.49 0.49 0.49 0.49 0.97 0.22 0.22 0.22 0.22 0.26 0.49 0.51 0.23 0.23 0.71 0.23 0.70 0.50 0.51 0.26 0.26 0.70 0.23 0.23 0.22 0.25 0.21 0.21 0.22 0.22 0.21 0.21 0.22 0.22 0.23 0.68 0.27 0.27 0.73 0.26 0.24 0.23
1U8I_BA 0.21 0.23 0.23 0.24 0.23 0.22 0.51 0.43 0.22 0.97 0.97 0.97 1.00 1.00 1.00 0.99 1.00 1.00 1.00 0.99 1.00 1.00 0.51 0.51 0.22 0.68 0.23 0.22 0.99 0.21 0.22 0.23 0.41 0.22 0.51 0.97 0.98 0.22 0.26 0.22 0.22 0.21 0.51 0.51 0.54 0.27 1.00 0.21 0.22 0.23 0.22 0.49 0.49 0.49 0.49 0.97 0.22 0.22 0.22 0.22 0.25 0.49 0.51 0.23 0.23 0.71 0.23 0.70 0.50 0.51 0.26 0.26 0.70 0.23 0.23 0.22 0.25 0.21 0.21 0.22 0.22 0.21 0.21 0.22 0.22 0.23 0.68 0.27 0.27 0.73 0.26 0.24 0.23
1U8J_BA 0.21 0.22 0.23 0.24 0.23 0.22 0.51 0.43 0.22 0.97 0.97 0.97 1.00 1.00 1.00 0.99 1.00 1.00 1.00 0.99 1.00 1.00 0.51 0.51 0.22 0.68 0.23 0.22 0.99 0.22 0.22 0.23 0.41 0.22 0.51 0.97 0.98 0.22 0.26 0.22 0.22 0.21 0.51 0.51 0.54 0.27 1.00 0.21 0.22 0.23 0.22 0.49 0.49 0.49 0.50 0.97 0.22 0.22 0.22 0.22 0.25 0.49 0.51 0.23 0.23 0.71 0.23 0.70 0.50 0.51 0.26 0.25 0.70 0.23 0.23 0.22 0.25 0.21 0.21 0.22 0.22 0.21 0.21 0.22 0.22 0.23 0.68 0.27 0.27 0.73 0.26 0.24 0.23
1U8K_BA 0.21 0.23 0.23 0.23 0.23 0.23 0.52 0.43 0.23 0.97 0.97 0.97 0.99 0.99 0.99 1.00 0.99 0.99 0.99 0.99 0.99 0.99 0.52 0.52 0.22 0.69 0.23 0.22 0.98 0.22 0.22 0.23 0.40 0.22 0.52 0.97 0.98 0.22 0.26 0.22 0.22 0.21 0.52 0.52 0.55 0.27 0.99 0.21 0.21 0.23 0.22 0.49 0.49 0.49 0.50 0.97 0.22 0.22 0.22 0.22 0.26 0.49 0.51 0.23 0.22 0.71 0.23 0.71 0.51 0.51 0.26 0.26 0.70 0.23 0.23 0.21 0.25 0.21 0.21 0.22 0.22 0.21 0.21 0.22 0.22 0.23 0.68 0.27 0.27 0.74 0.26 0.24 0.23
1U8M_BA 0.21 0.22 0.23 0.24 0.23 0.22 0.51 0.43 0.22 0.97 0.97 0.97 1.00 1.00 1.00 0.99 1.00 1.00 1.00 0.99 1.00 1.00 0.51 0.51 0.22 0.68 0.23 0.22 0.99 0.21 0.22 0.23 0.41 0.22 0.51 0.97 0.98 0.22 0.26 0.22 0.22 0.21 0.51 0.51 0.54 0.27 1.00 0.21 0.22 0.23 0.22 0.49 0.49 0.49 0.50 0.97 0.22 0.22 0.22 0.22 0.25 0.49 0.51 0.23 0.23 0.71 0.23 0.70 0.50 0.51 0.26 0.25 0.70 0.23 0.23 0.22 0.26 0.21 0.21 0.22 0.22 0.21 0.21 0.22 0.22 0.23 0.68 0.27 0.27 0.73 0.26 0.24 0.23
1U8Q_BA 0.21 0.22 0.23 0.24 0.23 0.22 0.51 0.43 0.22 0.97 0.97 0.97 1.00 1.00 1.00 0.99 1.00 1.00 1.00 0.99 1.00 1.00 0.51 0.51 0.22 0.68 0.23 0.22 0.99 0.21 0.22 0.23 0.41 0.22 0.51 0.97 0.98 0.22 0.26 0.22 0.22 0.21 0.51 0.51 0.54 0.27 1.00 0.21 0.22 0.23 0.22 0.49 0.49 0.49 0.49 0.97 0.22 0.22 0.22 0.22 0.25 0.49 0.51 0.23 0.23 0.71 0.23 0.70 0.50 0.51 0.26 0.26 0.70 0.23 0.23 0.22 0.25 0.21 0.21 0.22 0.22 0.21 0.21 0.22 0.22 0.23 0.68 0.27 0.27 0.73 0.26 0.24 0.23
1U91_BA 0.21 0.23 0.23 0.24 0.23 0.22 0.51 0.43 0.22 0.97 0.97 0.97 1.00 1.00 1.00 0.99 1.00 1.00 1.00 0.99 1.00 1.00 0.51 0.51 0.22 0.68 0.23 0.22 0.99 0.21 0.22 0.23 0.41 0.22 0.51 0.97 0.98 0.22 0.26 0.22 0.22 0.21 0.51 0.51 0.54 0.27 1.00 0.21 0.22 0.23 0.22 0.49 0.49 0.49 0.50 0.97 0.22 0.22 0.22 0.22 0.25 0.49 0.51 0.23 0.23 0.71 0.23 0.70 0.50 0.51 0.26 0.26 0.70 0.23 0.23 0.22 0.25 0.21 0.21 0.22 0.22 0.21 0.21 0.22 0.22 0.23 0.68 0.27 0.27 0.73 0.26 0.24 0.23
1U92_BA 0.21 0.23 0.23 0.24 0.23 0.22 0.51 0.43 0.23 0.96 0.96 0.96 0.99 0.99 0.99 0.99 0.99 0.99 0.99 1.00 0.99 0.99 0.51 0.51 0.22 0.69 0.23 0.22 0.99 0.21 0.22 0.23 0.41 0.22 0.51 0.97 0.99 0.22 0.26 0.22 0.22 0.21 0.51 0.52 0.54 0.27 0.99 0.21 0.22 0.23 0.22 0.49 0.49 0.49 0.50 0.97 0.22 0.22 0.22 0.22 0.25 0.49 0.50 0.23 0.23 0.71 0.23 0.71 0.51 0.51 0.26 0.26 0.70 0.23 0.23 0.21 0.25 0.21 0.21 0.22 0.22 0.21 0.21 0.22 0.22 0.24 0.68 0.27 0.27 0.74 0.26 0.24 0.23
1U93_BA 0.21 0.22 0.23 0.24 0.23 0.22 0.51 0.43 0.22 0.97 0.97 0.97 1.00 1.00 1.00 0.99 1.00 1.00 1.00 0.99 1.00 1.00 0.51 0.51 0.22 0.68 0.23 0.22 0.99 0.21 0.22 0.23 0.41 0.22 0.51 0.97 0.98 0.22 0.26 0.22 0.22 0.21 0.51 0.51 0.54 0.27 1.00 0.21 0.22 0.23 0.22 0.49 0.49 0.49 0.50 0.97 0.22 0.22 0.22 0.22 0.26 0.49 0.51 0.23 0.23 0.71 0.23 0.70 0.50 0.51 0.26 0.26 0.70 0.23 0.23 0.22 0.26 0.21 0.21 0.22 0.22 0.21 0.21 0.22 0.22 0.23 0.68 0.27 0.27 0.73 0.26 0.24 0.23
1U95_BA 0.21 0.22 0.23 0.24 0.23 0.22 0.51 0.43 0.22 0.97 0.97 0.97 1.00 1.00 1.00 0.99 1.00 1.00 1.00 0.99 1.00 1.00 0.51 0.51 0.22 0.68 0.23 0.22 0.99 0.21 0.22 0.23 0.41 0.22 0.51 0.97 0.98 0.22 0.26 0.22 0.22 0.21 0.51 0.51 0.54 0.27 1.00 0.21 0.22 0.23 0.22 0.49 0.49 0.49 0.49 0.97 0.22 0.22 0.22 0.22 0.25 0.49 0.51 0.23 0.23 0.71 0.23 0.70 0.50 0.51 0.26 0.25 0.70 0.23 0.23 0.22 0.25 0.21 0.21 0.22 0.22 0.21 0.21 0.22 0.22 0.23 0.68 0.27 0.27 0.73 0.26 0.24 0.23
2B1A_HL 0.24 0.24 0.27 0.25 0.25 0.23 0.75 0.52 0.24 0.53 0.53 0.53 0.51 0.51 0.51 0.52 0.51 0.51 0.51 0.51 0.51 0.51 1.00 1.00 0.24 0.59 0.26 0.23 0.51 0.25 0.26 0.27 0.53 0.26 0.75 0.52 0.51 0.25 0.28 0.24 0.24 0.23 0.75 0.71 0.71 0.27 0.52 0.25 0.24 0.24 0.23 0.77 0.77 0.75 0.76 0.53 0.24 0.24 0.25 0.23 0.27 0.78 0.79 0.23 0.23 0.57 0.24 0.57 0.78 0.72 0.27 0.27 0.56 0.25 0.25 0.26 0.27 0.24 0.23 0.24 0.24 0.24 0.23 0.24 0.24 0.23 0.57 0.29 0.29 0.56 0.26 0.24 0.25
2B1H_HL 0.25 0.24 0.27 0.25 0.26 0.23 0.75 0.52 0.24 0.53 0.53 0.53 0.51 0.51 0.51 0.52 0.51 0.51 0.51 0.51 0.51 0.51 1.00 1.00 0.24 0.58 0.26 0.24 0.51 0.25 0.25 0.27 0.53 0.25 0.75 0.52 0.51 0.25 0.28 0.25 0.25 0.24 0.75 0.71 0.71 0.27 0.52 0.25 0.25 0.24 0.24 0.77 0.77 0.75 0.77 0.53 0.24 0.23 0.25 0.23 0.27 0.78 0.79 0.23 0.23 0.57 0.24 0.57 0.78 0.72 0.27 0.27 0.56 0.25 0.25 0.26 0.27 0.24 0.23 0.24 0.24 0.25 0.24 0.24 0.24 0.23 0.56 0.29 0.30 0.56 0.26 0.24 0.25
2CK0_LH 0.76 0.74 0.75 0.65 0.78 0.75 0.24 0.23 0.75 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.24 0.24 1.00 0.25 0.85 0.79 0.22 0.71 0.68 0.73 0.23 0.71 0.25 0.23 0.22 0.72 0.60 0.57 0.68 0.79 0.24 0.24 0.26 0.64 0.22 0.73 0.73 0.71 0.71 0.23 0.23 0.23 0.23 0.22 0.77 0.77 0.74 0.83 0.58 0.25 0.23 0.74 0.74 0.24 0.74 0.24 0.26 0.25 0.58 0.62 0.25 0.52 0.52 0.73 0.63 0.78 0.78 0.77 0.76 0.74 0.71 0.72 0.72 0.71 0.25 0.58 0.58 0.24 0.64 0.53 0.72
2FX7_HL 0.24 0.24 0.24 0.25 0.25 0.24 0.56 0.46 0.23 0.71 0.71 0.71 0.68 0.68 0.68 0.69 0.68 0.68 0.68 0.69 0.68 0.68 0.59 0.58 0.25 1.00 0.25 0.23 0.69 0.22 0.22 0.24 0.47 0.22 0.56 0.69 0.68 0.23 0.28 0.25 0.22 0.23 0.55 0.55 0.57 0.27 0.69 0.21 0.21 0.24 0.24 0.55 0.55 0.52 0.54 0.70 0.24 0.24 0.22 0.25 0.26 0.58 0.59 0.22 0.22 0.79 0.23 0.79 0.57 0.57 0.26 0.26 0.77 0.25 0.24 0.22 0.26 0.24 0.23 0.24 0.24 0.24 0.22 0.22 0.22 0.24 0.98 0.28 0.29 0.76 0.27 0.26 0.24
2G5B_AB 0.78 0.75 0.73 0.66 0.81 0.73 0.26 0.23 0.75 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.26 0.26 0.85 0.25 1.00 0.76 0.23 0.72 0.70 0.78 0.23 0.72 0.26 0.24 0.23 0.73 0.60 0.55 0.68 0.78 0.26 0.26 0.26 0.64 0.23 0.73 0.74 0.72 0.71 0.23 0.23 0.23 0.23 0.23 0.78 0.78 0.73 0.79 0.56 0.26 0.26 0.77 0.77 0.24 0.73 0.23 0.26 0.26 0.58 0.63 0.26 0.53 0.53 0.75 0.62 0.78 0.77 0.78 0.77 0.74 0.71 0.72 0.72 0.69 0.24 0.58 0.58 0.23 0.63 0.54 0.72
2HKF_LH 0.70 0.74 0.69 0.63 0.70 0.81 0.23 0.23 0.77 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.23 0.24 0.79 0.23 0.76 1.00 0.22 0.77 0.77 0.77 0.22 0.74 0.24 0.22 0.22 0.70 0.58 0.53 0.70 0.81 0.24 0.25 0.26 0.64 0.22 0.77 0.77 0.75 0.75 0.22 0.22 0.22 0.22 0.22 0.77 0.77 0.78 0.83 0.60 0.25 0.23 0.86 0.86 0.23 0.70 0.24 0.25 0.25 0.56 0.60 0.24 0.49 0.49 0.70 0.65 0.78 0.78 0.81 0.81 0.77 0.78 0.79 0.79 0.69 0.23 0.56 0.56 0.23 0.68 0.50 0.66
2P8L_BA 0.21 0.23 0.23 0.24 0.23 0.23 0.51 0.43 0.22 0.96 0.96 0.96 0.99 0.99 0.99 0.98 0.99 0.99 0.99 0.99 0.99 0.99 0.51 0.51 0.22 0.69 0.23 0.22 1.00 0.22 0.22 0.23 0.41 0.22 0.51 0.98 1.00 0.22 0.26 0.22 0.23 0.21 0.51 0.52 0.54 0.27 0.99 0.22 0.22 0.23 0.22 0.49 0.49 0.49 0.49 0.96 0.22 0.22 0.22 0.22 0.26 0.50 0.50 0.22 0.22 0.71 0.23 0.70 0.51 0.51 0.26 0.26 0.70 0.23 0.23 0.21 0.25 0.21 0.21 0.22 0.22 0.21 0.21 0.22 0.22 0.24 0.69 0.27 0.28 0.74 0.27 0.25 0.23
2R0W_LH 0.72 0.73 0.71 0.66 0.70 0.71 0.24 0.23 0.77 0.22 0.22 0.21 0.21 0.21 0.22 0.22 0.21 0.21 0.21 0.21 0.21 0.21 0.25 0.25 0.71 0.22 0.72 0.77 0.22 1.00 0.97 0.69 0.22 0.90 0.25 0.22 0.21 0.69 0.55 0.50 0.70 0.72 0.25 0.25 0.26 0.59 0.22 0.93 0.93 0.80 0.80 0.25 0.24 0.24 0.25 0.22 0.74 0.74 0.81 0.76 0.57 0.27 0.26 0.77 0.77 0.23 0.73 0.23 0.25 0.26 0.58 0.56 0.23 0.48 0.49 0.73 0.60 0.75 0.74 0.80 0.79 0.78 0.77 0.79 0.79 0.65 0.22 0.54 0.54 0.22 0.61 0.46 0.76
2R0Z_LH 0.71 0.72 0.71 0.66 0.68 0.71 0.24 0.22 0.75 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.26 0.25 0.68 0.22 0.70 0.77 0.22 0.97 1.00 0.69 0.22 0.89 0.25 0.22 0.22 0.67 0.54 0.47 0.68 0.71 0.25 0.25 0.26 0.57 0.22 0.92 0.92 0.78 0.78 0.24 0.25 0.24 0.24 0.22 0.73 0.73 0.80 0.73 0.56 0.28 0.26 0.76 0.76 0.24 0.71 0.22 0.25 0.26 0.57 0.54 0.23 0.47 0.47 0.72 0.59 0.74 0.72 0.78 0.77 0.77 0.77 0.78 0.79 0.65 0.22 0.54 0.54 0.23 0.61 0.45 0.76
2V17_LH 0.69 0.75 0.67 0.61 0.70 0.71 0.25 0.22 0.68 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.27 0.27 0.73 0.24 0.78 0.77 0.23 0.69 0.69 1.00 0.23 0.69 0.25 0.24 0.23 0.68 0.59 0.54 0.68 0.73 0.25 0.25 0.26 0.64 0.23 0.70 0.70 0.69 0.68 0.23 0.23 0.22 0.23 0.24 0.73 0.73 0.68 0.74 0.53 0.26 0.25 0.77 0.76 0.24 0.69 0.24 0.27 0.25 0.58 0.62 0.26 0.50 0.49 0.71 0.61 0.72 0.71 0.74 0.74 0.69 0.69 0.69 0.69 0.65 0.25 0.57 0.57 0.24 0.60 0.49 0.67
